trial_id,algorithm,n,mode,time_ms,calls,comparisons,swaps,mean_time_ms,median_time_ms
71,ExpoSort,4,random,0.0021,15,7,2,0.0024178217821782177,0.0023
72,ExpoSort,4,random,0.0022,15,7,2,0.0024178217821782177,0.0023
73,ExpoSort,4,random,0.0021,15,7,1,0.0024178217821782177,0.0023
74,ExpoSort,4,random,0.0023,15,7,3,0.0024178217821782177,0.0023
75,ExpoSort,4,random,0.0023,15,7,3,0.0024178217821782177,0.0023
76,ExpoSort,4,random,0.0024,15,7,5,0.0024178217821782177,0.0023
77,ExpoSort,4,random,0.0025,15,7,5,0.0024178217821782177,0.0023
78,ExpoSort,4,random,0.0024,15,7,5,0.0024178217821782177,0.0023
79,ExpoSort,4,random,0.0071,15,7,2,0.0024178217821782177,0.0023
80,ExpoSort,4,random,0.0023,15,7,3,0.0024178217821782177,0.0023
81,ExpoSort,4,random,0.0024,15,7,5,0.0024178217821782177,0.0023
82,ExpoSort,4,random,0.0024,15,7,5,0.0024178217821782177,0.0023
83,ExpoSort,4,random,0.0025,15,7,5,0.0024178217821782177,0.0023
84,ExpoSort,4,random,0.0023,15,7,4,0.0024178217821782177,0.0023
85,ExpoSort,4,random,0.0023,15,7,3,0.0024178217821782177,0.0023
86,ExpoSort,4,random,0.0022,15,7,2,0.0024178217821782177,0.0023
87,ExpoSort,4,random,0.0022,15,7,2,0.0024178217821782177,0.0023
88,ExpoSort,4,random,0.0025,15,7,5,0.0024178217821782177,0.0023
89,ExpoSort,4,random,0.0024,15,7,4,0.0024178217821782177,0.0023
90,ExpoSort,4,random,0.0022,15,7,2,0.0024178217821782177,0.0023
91,ExpoSort,4,random,0.0023,15,7,4,0.0024178217821782177,0.0023
92,ExpoSort,4,random,0.0024,15,7,3,0.0024178217821782177,0.0023
93,ExpoSort,4,random,0.0025,15,7,5,0.0024178217821782177,0.0023
94,ExpoSort,4,random,0.0022,15,7,2,0.0024178217821782177,0.0023
95,ExpoSort,4,random,0.0022,15,7,2,0.0024178217821782177,0.0023
96,ExpoSort,4,random,0.0024,15,7,5,0.0024178217821782177,0.0023
97,ExpoSort,4,random,0.0023,15,7,4,0.0024178217821782177,0.0023
98,ExpoSort,4,random,0.0023,15,7,4,0.0024178217821782177,0.0023
99,ExpoSort,4,random,0.0023,15,7,4,0.0024178217821782177,0.0023
100,ExpoSort,4,random,0.0022,15,7,3,0.0024178217821782177,0.0023
101,ExpoSort,4,random,0.0022,15,7,2,0.0024178217821782177,0.0023
1,ExpoSort,8,random,0.0347,255,127,10,0.03315049504950495,0.0331
2,ExpoSort,8,random,0.0328,255,127,8,0.03315049504950495,0.0331
3,ExpoSort,8,random,0.0332,255,127,12,0.03315049504950495,0.0331
4,ExpoSort,8,random,0.0332,255,127,14,0.03315049504950495,0.0331
5,ExpoSort,8,random,0.0334,255,127,17,0.03315049504950495,0.0331
6,ExpoSort,8,random,0.033,255,127,14,0.03315049504950495,0.0331
7,ExpoSort,8,random,0.0327,255,127,10,0.03315049504950495,0.0331
8,ExpoSort,8,random,0.0336,255,127,19,0.03315049504950495,0.0331
9,ExpoSort,8,random,0.0333,255,127,18,0.03315049504950495,0.0331
10,ExpoSort,8,random,0.0334,255,127,16,0.03315049504950495,0.0331
11,ExpoSort,8,random,0.0334,255,127,17,0.03315049504950495,0.0331
12,ExpoSort,8,random,0.0336,255,127,20,0.03315049504950495,0.0331
13,ExpoSort,8,random,0.0332,255,127,15,0.03315049504950495,0.0331
14,ExpoSort,8,random,0.0336,255,127,18,0.03315049504950495,0.0331
15,ExpoSort,8,random,0.0325,255,127,9,0.03315049504950495,0.0331
16,ExpoSort,8,random,0.0333,255,127,17,0.03315049504950495,0.0331
17,ExpoSort,8,random,0.033,255,127,14,0.03315049504950495,0.0331
18,ExpoSort,8,random,0.0329,255,127,12,0.03315049504950495,0.0331
19,ExpoSort,8,random,0.0323,255,127,6,0.03315049504950495,0.0331
20,ExpoSort,8,random,0.0331,255,127,12,0.03315049504950495,0.0331
21,ExpoSort,8,random,0.033,255,127,14,0.03315049504950495,0.0331
22,ExpoSort,8,random,0.033,255,127,13,0.03315049504950495,0.0331
23,ExpoSort,8,random,0.0336,255,127,19,0.03315049504950495,0.0331
24,ExpoSort,8,random,0.0327,255,127,11,0.03315049504950495,0.0331
25,ExpoSort,8,random,0.0329,255,127,13,0.03315049504950495,0.0331
26,ExpoSort,8,random,0.033,255,127,14,0.03315049504950495,0.0331
27,ExpoSort,8,random,0.0324,255,127,6,0.03315049504950495,0.0331
28,ExpoSort,8,random,0.0336,255,127,19,0.03315049504950495,0.0331
29,ExpoSort,8,random,0.0329,255,127,12,0.03315049504950495,0.0331
30,ExpoSort,8,random,0.0332,255,127,16,0.03315049504950495,0.0331
31,ExpoSort,8,random,0.0334,255,127,17,0.03315049504950495,0.0331
32,ExpoSort,8,random,0.0334,255,127,15,0.03315049504950495,0.0331
33,ExpoSort,8,random,0.0336,255,127,18,0.03315049504950495,0.0331
34,ExpoSort,8,random,0.0333,255,127,16,0.03315049504950495,0.0331
35,ExpoSort,8,random,0.0325,255,127,7,0.03315049504950495,0.0331
36,ExpoSort,8,random,0.0328,255,127,11,0.03315049504950495,0.0331
37,ExpoSort,8,random,0.0328,255,127,11,0.03315049504950495,0.0331
38,ExpoSort,8,random,0.0336,255,127,19,0.03315049504950495,0.0331
39,ExpoSort,8,random,0.0328,255,127,10,0.03315049504950495,0.0331
40,ExpoSort,8,random,0.0332,255,127,16,0.03315049504950495,0.0331
41,ExpoSort,8,random,0.0334,255,127,19,0.03315049504950495,0.0331
